"discovery_date","facility_name","closest_street_address","city","county","latitude","longitude","estimate_or_actual","volume_gallons","treated_state_of_discharge","explained_if_other","ending_date_time","expected_ending_date_time","duration_hours_minutes","corrective_actions","receiving_water_body","reason_for_discharge","other_explanation"
"12:00:00 AM 10:40 PM","Canastota WWTP","Wet Weather CSO storage tank","Canastota","Madison","43.0795121","-75.7507413","Unknown","","Partially Treated Without Disinfection","","","08/04/2014 08:00 AM","","Filled CSO storage tank and maximized flow to WWTP","Canastota Creek","Weather Conditions; ","2.0"" of rain over 6 hour period; "
"12:00:00 AM 10:45 AM","Washington County Sewer District 2","Marion St. pumping station","Fort Edward","Washington","43.2670175","-73.5845597","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Pumping station failure","Hudson River","Unknown At This Time; ",""
"12:00:00 AM 11:01 PM","Village of Goshen"," Montgomery, N. Church, St John,Erie St St. James","Goshen","Orange","41.4020382","-74.3243191","Unknown","","Untreated","","","Expected ending date of discharge not reported","","None Available","Pond","Weather Conditions; ","3.2"" Rain event in 24 Hours; "
"12:00:00 AM 12:00 PM","Village of Endicott","The I3 building between Clark Street and Watson Blvd.","Village of Endicott","Broome","42.098408","-76.04936839999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","The blockage in the 8"" Sanitary Sewer Main was cleaned out by the VAC Truck using a special Grease Nozzle to dislodge grease from the Sanitary Sewer Pipe. The blockage was dislodged and the Sanitary Sewer Main is flowing normally. ","Susquehanna River","Blockage; ","Grease blocked the 8"" Sanitary Sewer Main between Man Hole and due to the blockage of grease the Sanitary Sewer had no where to go but out through the holes of the Man Hole Lid and onto Oak Hill Avenue.; "
"2013/05/01 11:00 AM","Town of Orangetown SD #2","Off of Cemetary St.","Nyack","Rockland","41.0906519","-73.9179146","Estimate","500","Untreated","","05/01/2013 11:30 AM","","Less than 1 hour","Continued jetting line to break blockage. (NOTE: T","","Blockage; ","grease and rag material accumulation; "
"2013/05/02 02:00 PM","Village of Westfield WPCF","Oak St. ","Westfield","Chautauqua","42.3224932","-79.5848555","Estimate","5000","Untreated","","05/02/2013 03:00 PM","","Less than 1 hour","Issue caused by problem at village water plant-exc","N/A","Insufficient System Capacity; Other; ","Excessive Backwash; "
"2013/05/02 10:15 AM","Town of Colonie Collection System","100 Wade Road","Latham","Albany","42.7468999","-73.783603","Estimate","50","Untreated","","05/02/2013 10:40 AM","","Less than 1 hour","Discharge was 100% contained and removed from area","","Unknown At This Time; ",""
"2013/05/03 12:40 PM","Town of Orangetown","near 615 Route 303","Blauvelt","Rockland","41.0786","-73.94871999999999","Unknown","","Untreated","","05/03/2013 01:30 PM","","Less than 1 hour","Sewer Pressure Truck 118 responded and cleared sto","","Blockage; ","grease stoppage; "
"2013/05/04 05:00 PM","Town of Bethelehem WW Collection System","185 Krum Kill Road","Bethlehem","Albany","42.659743","-73.82887199999999","Estimate","5000","Untreated","","05/04/2013 06:00 PM","","Less than 1 hour","Repair forcemain leak.","N/A","Other; ","Force main failure; "
"2013/05/04 06:00 PM","Fort Drum Public Works","9711 King Loop","LeRay","Jefferson","44.0467641","-75.8283891","Unknown","","Untreated","","05/04/2013 07:30 PM","","1:30","Silt fencing installed to block raw sewage from en","","Blockage; ","baby wipes/diapers/grease; "
"2013/05/04 10:00 AM","Town of Delaware-Callicoon SD","Intersection of South Main & Rt 17B","Callicoon","Delaware","41.7716714","-75.06073019999999","Estimate","500","Other","Untreated with no solids","05/04/2013 11:10 AM","","1:10","Temporary stand by generator installed to supply p","Callicoon Creek","Other; ","Underground electrical short in power supply; "
"2013/05/06 10:35 AM","Town of Orangetown WWTP","Off of Orangeburg Rd., between Dutch Hill and Western Highway.","Oraneburg","Rockland","40.7127837","-74.0059413","Unknown","","Untreated","","05/06/2013 11:30 AM","","Less than 1 hour","Sewer Stoppage on Tappan Zee High School field pro","","Blockage; ","8"" line stoppage, televising on 5/7/13; "
"2013/05/07 12:05 PM","NYCDEP","43-10 Berrian Boulevard","Astoria","","40.7784023","-73.89460160000002","Estimate","10","Other","Sludge Spill","05/07/2013 10:10 PM","","10:05","At the Bowery Bay Wastewater Treatment Plant, a ho","","Other; ","Broken Pump Hose; "
"2013/05/08 06:00 PM","NYCDEP","","","","","","Unknown","","Other","","05/08/2013 11:30 PM","","5:30","Powells Cove Gate opened manually by maintenance c","East River","Power Outage; ",""
"2013/05/08 08:00 AM","Village of Lyons","Loson's Big M","Lyons","Wayne","43.0642305","-76.99024559999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Replace Broken Fittings","","Other; ","Pipe Failure; "
"2013/05/08 11:00 AM","NYCDEP","127th Street and East River","College Point","Queens","40.786395","-73.8389657","Estimate","1000","Other","Final Tank Effluent Spill","05/08/2013 09:30 AM","","","The Tallman Island WWTP had a final tank effluent ","East River","Weather Conditions; ","High Flows from Wet Weather; "
"2013/05/09 05:30 PM","City of Ithaca Department of Public Works, Division of Water and Sewer","Intersection of Catherine & Eddy Sts.","Ithaca","Tompkins","42.440253","-76.4874059","Estimate","1500","Untreated","","05/09/2013 06:05 PM","","Less than 1 hour","Blockage self dislodged upon opening MH cover","","Other; ","Unknown, Video Tomorrow; "
"2013/05/09 08:55 PM","Village of Endicott","213 Cleveland Ave.","Village of Endicott","Broome","42.099365","-76.052341","Estimate","20","Untreated","","05/09/2013 09:57 PM","","1:02","aprx 20 gallons of sewage spilled over throught th","","Blockage; ","N/A; "
"2013/05/09 11:30 AM","Carmel Sewer District #2","Cartwright Rental","Carmel","Putnam","41.4300937","-73.68012969999999","Estimate","500","Untreated","","05/09/2013 12:20 PM","","Less than 1 hour","Pumper Truck vacuumed manhole","","Blockage; ","N/A; "
"2013/05/10 07:15 PM","Town of Thompson-Benmosche Pump Station","Benmosche Sewage Pump Station","Thompson","Sullivan","41.6543833","-74.66346399999999","Estimate","2700","Partially Treated With Disinfection","","","Expected ending date of discharge not reported","","Set up temporary chlorinator, pumping chlorine int","","Other; ","Valve failure; "
"2013/05/10 08:33 PM","ECSD No. 3 - Electric Avenue PS","2477 Electric Ave.","Hamburg","Erie","42.7893413","-78.8290944","Unknown","","Untreated","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Rainfall; "
"2013/05/10 10:00 PM","Village of Johnson City, CSO-001","720 Riverside Drive (formerly Goudey Station","Union","Broome","40.7127837","-74.0059413","Actual","59877","Untreated","","05/10/2013 11:30 PM","","1:30","None","Susquehanna","Weather Conditions; ","Heavy Rain; "
"2013/05/10 10:45 PM","Village of Johnson City, CSO-001","720 Riverside Drive (formerly Goudey Station","Union","Broome","40.7127837","-74.0059413","Actual","127","Untreated","","05/10/2013 11:15 PM","","Less than 1 hour","None","Susquehanna","Weather Conditions; ","Heavy Rain; "
"2013/05/11 03:45 PM","Coeymans-Ravena WPCF","Coeymans Landing","Coeymans","Albany","42.4739705","-73.79234559999999","Unknown","","Untreated","","05/11/2013 04:15 PM","","Less than 1 hour","Release air from air bound pumps in the pump stati","","Other; ","Pumps air bound stopped pumping; "
"2013/05/11 09:30 AM","Town/Village of Harrison","Union Avenue and Harrison Avenue","Harrison","Westchester","40.9790897","-73.7132719","Estimate","200","Untreated","","05/15/2013 10:30 AM","","97:00","Clog in lateral pipe was cleared using sewer jet.","Mamaroneck River","Unknown At This Time; Blockage; ","Clog in lateral; "
"2013/05/13 09:15 AM","North Castle SD #2","16 School St.","Armonk","Westchester","41.133584","-73.70989","Estimate","500","Untreated","","05/13/2013 10:30 AM","","1:15","Jet truck & vactor brought in to contain surcharge","","Blockage; ","Grease blockage; "
"2013/05/13 10:00 AM","Village of Catskill WWTP","Main Street - 002","Catskill","Greene","42.2104298","-73.85395559999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Currently working on LTCP.","","Insufficient System Capacity; Weather Conditions; ",""
"2013/05/13 10:05 AM","Village of Catskill WWTP","Main Street between Henry and Greene 003B","Catskill","Greene","42.2173102","-73.8645734","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Currently working on LTCP.","","Insufficient System Capacity; Weather Conditions; ",""
"2013/05/13 10:10 AM","Village of Catskill WWTP","Canal Street 004","Catskill","Greene","42.2195765","-73.86632299999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Currently working on LTCP.","","Insufficient System Capacity; Weather Conditions; ",""
"2013/05/13 10:15 AM","Village of Catskill WWTP","West Main Street 007A","Catskill","Greene","42.2092187","-73.8663329","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Currently working on LTCP.","","Insufficient System Capacity; Weather Conditions; ",""
"2013/05/13 11:55 AM","Niagara Falls WWTF","Rainbow Bridge (outfall 003)","Niagara Falls","Niagara","43.0962143","-79.0377388","Estimate","694","Untreated","","05/13/2013 11:30 AM","","","Additional pump on line.","Niagara River","Weather Conditions; ","Rain; "
"2013/05/15 09:15 AM","Town/Village of Harrison","Indian Hill Road and Park Lane","Harrison","Westchester","41.0751617","-73.747952","Estimate","500","Untreated","","05/15/2013 09:45 AM","","Less than 1 hour","High water alarm received, water pumped down, no s","","Unknown At This Time; ",""
"2013/05/16 01:30 PM","Village of Pulaski WWTP","20 Castle Drive","Pulaski","Oswego","43.559327","-76.1243779","Estimate","30","Untreated","","05/16/2013 02:10 PM","","Less than 1 hour","Village DPW vac truck collected discharge. Replace","","Other; ","Equipment Failure; "
"2013/05/16 07:10 AM","VIllage of Ellenville WWTP","23 Tuthill Ave.","Ellenville","Ulster","41.712169","-74.394927","Estimate","100","Untreated","","05/16/2013 07:30 AM","","Less than 1 hour","Used village's sewer jet to break blockage in sewe","","Root Intrusion; Blockage; ","Grease, paper towels, wipes; Equipment Failure; "
"2013/05/17 07:15 PM","Rockland County Sewer District No. 1","S Monsey Rd, 100 yds South of Christmas Hill Rd","Ramapo","Rockland","41.09943010000001","-74.0887051","Estimate","18000","Untreated","","05/18/2013 10:30 AM","","15:15","Use of hay bales to mitigate solids discharge.","","Blockage; ","foreign material (sticks) in MH invert; "
"2013/05/17 09:30 AM","Town of Orangetown","Near 269 Oak Tree Road","Tappan","Rockland","41.0151612","-73.9358335","Unknown","0","Untreated","","05/17/2013 10:30 AM","","Less than 1 hour","Used 2 VacAll trucks to flush the line and break t","Sparkill Creek to Hudson River","Blockage; ","Grit and grease.; "
"2013/05/17 09:30 AM","Westchester County","Wells Ave. & Alexander St.","Yonkers","Westchester","40.9368645","-73.90205159999999","Actual","300","Untreated","","05/17/2013 10:40 AM","","1:10","Cleared partial blockage with Sewer Jet","Hudson River","Blockage; ","N/A; "
"2013/05/20 09:00 AM","Westchester County"," 19 Alexander Street","Yonkers","Westchester","40.9376652","-73.90240659999999","Actual","350","Untreated","","05/20/2013 10:10 AM","","1:10","Dispatched Jet Truck, Called in Cook to TV Sewer l","Hudson River","Blockage; ","Sewer Blockage; "
"2013/05/20 11:15 AM","Town of Bethlehem - Wastewater Collection System","38 Thatcher Street, Selkirk, NY","Bethlehem (T)","Albany","42.53138089999999","-73.8016853","Estimate","0","Untreated","","","Expected ending date of discharge not reported","","Repair leak in force main.","","Unknown At This Time; ",""
"2013/05/21 09:24 PM","Oneida County Water Pollution Control Plant/Sauquoit Creek Pumping Station","3960 ft N, Whitesboro St-Oriskany Blvd intesect","Whitestown","Oneida","43.1381536","-75.32955699999999","Actual","7000000","Partially Treated Without Disinfection","","","Expected ending date of discharge not reported","","The SSO valve of the pumping station was opened wh","Mohawk River","Weather Conditions; ","Wet weather I&I exceeds capacity; "
"2013/05/22 04:30 PM","Town of Niskayuna WWTP","Plant outfall into river.","Niskayuna","Schenectady","42.8000049","-73.89144069999999","Unknown","","Partially Treated With Disinfection","","05/22/2013 09:00 PM","","4:30","To keep MLSS in plant, it was necessary to shut do","Plant discharge pipe into Mohawk River.","Weather Conditions; Other; ","Flooding from intense storms-2.5"" rain.; Plant flow at 9 MGD-3x design; "
"2013/05/22 05:30 PM","Town of Orangetown SD#2","781 Western Highway","Blauvelt","Rockland","41.078563","-73.962497","Estimate","1700","Untreated","","05/22/2013 06:30 PM","","Less than 1 hour","After correcting problem, applied HTH chlorine to ","Unknown","Other; ","Leak in air line for station controls.; "
"2013/05/23 01:10 PM","Town of Orangetown SD#2","2 manholes on Depew St. near Memorial Park","Nyack","Rockland","41.0906519","-73.9179146","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Waiting for thunderstorms to end, then cleanup as ","Hudson River","Weather Conditions; ","severe storms; 1.5"" rain in 45 minutes; "
"2013/05/23 01:10 PM","Town of Orangetown SD#2","2 manholes on Gedney St.","Nyack","Rockland","41.092728","-73.915671","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Waiting for thunderstorms to end, then cleanup as ","Hudson River","Weather Conditions; ","severe storms; 1.5"" rain in 45 minutes; "
"2013/05/23 01:10 PM","Town of Orangetown SD#2","Nyack PS 18"" line to Hudson River","Nyack","Rockland","41.0906519","-73.9179146","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Waiting for thunderstorms to end, then cleanup as ","Hudson River","Weather Conditions; ","severe storms; 1.5"" rain in 45 minutes; "
"2013/05/23 01:10 PM","Town of Orangetown SD#2","MH east of Nyack PS in River Club lot","Nyack","Rockland","41.0906519","-73.9179146","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Waiting for thunderstorms to end, then cleanup as ","Hudson River","Weather Conditions; ","severe storms; 1.5"" rain in 45 minutes; "
"2013/05/23 08:15 AM","Rockland County SD#1","Corner of Harvey Pl. and Stanley Ct.","Spring Valley","Rockland","41.1250544","-74.04984109999999","Estimate","4000","Untreated","","","05/23/2013 01:02 AM","","Flush crew dispatched to investigate and clear blo","","Blockage; ","Unknown at this time.; "
"2013/05/23 09:10 AM","Town of Orangetown SD#2","MH near 280 Oak Tree Road","Tappan","Rockland","41.0162369","-73.936646","Estimate","","Untreated","","05/23/2013 10:01 AM","","Less than 1 hour","Cleared obstruction; hosed down spill area. ","Unknown; possibly Sparkill Creek.","Blockage; ","Grease and grit stoppage; "
"2013/05/24 09:05 AM","Lawrence","N/A","Lawrence","Nassau","40.6156599","-73.72957629999999","Estimate","500","Untreated","","05/24/2013 09:05 AM","","","Flush crew broke stoppage, applied HTH and washed ","Banister Creek/Lawrence","Blockage; ","Grease and paper; "
"2013/05/24 09:30 AM","Village of Malone DPW","Corner of 5th St. and Park St.","Malone","Franklin","44.858584","-74.29267399999999","Unknown","","Untreated","","05/24/2013 10:00 AM","","Less than 1 hour","Flushed plugged line downstream of manhole; now wo","","Blockage; ","Unknown; "
"2013/05/25 11:40 AM","Valentine Ave., Glen Cove","Valentine Ave.","Glen Cove","Nassau","40.84873400000001","-73.631235","Estimate","50","Untreated","","05/25/2013 11:40 AM","","","Blockage cleared","Long Island Sound","Blockage; ","Grease stoppage; "
"2013/05/25 12:00 PM","VILLAGE OF ALTAMONT WWTP","3670 GUN CLUB ROAD","ALTAMONT","Albany","42.70443849999999","-74.02065830000001","Estimate","1000000","Partially Treated With Disinfection","","","Expected ending date of discharge not reported","","WILL CONTINUE TO DISCHARGE UNTIL FLOWS SLOW DOWN","VLY CREEK/BOZENKILL CREEK","Insufficient System Capacity; Weather Conditions; ","HEAVY RAIN FRI INTO SAT; "
"2013/05/26 10:20 AM","Valentine Ave., Glen Cove","Valentine Ave.","Glen Cove","Nassau","40.84873400000001","-73.631235","Estimate","50","Untreated","","05/26/2013 10:20 AM","","","Used rodder and flush truck to clear stoppage","Long Island Sound","Blockage; ","Grease stoppage; "
"2013/05/27 11:30 AM","Jane Court, Seaford","Jane Court","N/A","Nassau","40.7987396","-74.0515791","Estimate","20","Untreated","","05/27/2013 11:30 AM","","","Flushed, stopped overflow. HTH washed down affecte","Seaford Creek","Blockage; ","Blockage in sewer line; "
"2013/05/28 08:00 AM","Glen Cove WWTP","N/A","Glen Cove","Nassau","40.8623217","-73.6337389","Estimate","50","Untreated","","05/28/2013 08:30 AM","","Less than 1 hour","Broke Stoppage at 8:30 and cleaned up site by 9:15","N/A","Blockage; ","Grease Blockage; "
"2013/05/28 08:15 AM","Niagara Falls Water Board WWTP","Rainbow Bridge","Niagara FAlls","Niagara","43.0903463","-79.06798139999999","Unknown","","Untreated","","05/28/2013 11:45 AM","","3:30","More pumps put into service","N/A","Weather Conditions; ","Rain; "
"2013/05/28 08:24 AM","ECSD No. 3 - Electric Avenue PS","2477 Electric Ave.","Hmaburg","Erie","42.7893413","-78.8290944","Unknown","","Untreated","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Heavy rain; "
"2013/05/28 08:25 PM","ECSD No. 3 - Electric Avenue PS","2477 Electric Avenue","Hamburg","Erie","42.7893413","-78.8290944","Unknown","","Untreated","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Heavy Rain; "
"2013/05/28 08:30 PM","Town of West Seneca Engineering Dept. (Elmsford Drive Pump Station)","2 Fairfax","West Seneca","Erie","42.840703","-78.79218","Estimate","1953600","Untreated","","05/29/2013 04:00 AM","","7:30","N/A","","Weather Conditions; ","Heavy Rain Event; "
"2013/05/28 08:30 PM","City of Tonawanda","Fuller Ave PS","City of Tonawanda","Erie","43.0203347","-78.880315","Actual","880000","Untreated","","05/28/2013 11:59 AM","","","N/A","Ellicott Creek","Weather Conditions; ","Wet Weather Event; "
"2013/05/28 08:40 AM","Town of Cheektowaga","489 ROYCROFT BLVD","CHEEKTOWAGA","Erie","42.9488788","-78.779957","Unknown","1000000","Untreated","","","Expected ending date of discharge not reported","","CONTINUE TO MONITOR FLOWS DURING WET WEATHER BYPAS","SCAJAQUADA CREEL/CLASS C","Weather Conditions; ","RAIN/SNOW MELT; "
"2013/05/28 08:40 PM","Town of Cheektowaga","Union Road and Ellen Drive","Cheektowaga","Erie","42.9486603","-78.7544058","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Continue to monitor flows during wet weather bypas","Ellicott Creek Class B","Weather Conditions; ","Rain/Snow melt; "
"2013/05/28 08:45 PM","City of Tonawanda","Fillmore Avenue Pump Station","City of Tonawanda","Erie","43.0203347","-78.880315","Actual","40000","Untreated","","05/28/2013 11:45 PM","","3:00","N/A","Ellicott Creek","Weather Conditions; ","Wet Weather Event; "
"2013/05/28 08:56 AM","Town of Grand Island WWTP","1490 E. River Road","Grand Island","Erie","42.9994597","-78.94033069999999","Actual","348700","Untreated","","05/29/2013 08:56 AM","","24:00","N/A","Niagara River","Weather Conditions; ","Heavy Precipitation; "
"2013/05/28 09:00 AM","City of Tonawanda","Luksin PS","City of Tonawanda","Erie","43.0096239","-78.85959","Actual","37500","Untreated","","05/29/2013 08:30 AM","","23:30","N/A","Mill Creek","Weather Conditions; ","Wet Weather Event; "
"2013/05/28 09:30 PM","Town of West Seneca Engineering Dept. (Elmsford Drive Pump Station)","3331 Seneca St.","West Seneca","Erie","42.8320821","-78.77510839999999","Estimate","924000","Untreated","","05/29/2013 04:00 AM","","6:30","N/A","","Weather Conditions; ","Heavy Rain Event; "
"2013/05/28 10:05 AM","Town of Cheektowaga","VERN LN. AND JOANNE DR.","CHEEKTOWAGA","Erie","42.8876319","-78.7643856","Unknown","","Untreated","","","Expected ending date of discharge not reported","","CONTINUE TO MONITOR FLOWS DURING WET WEATHER BYPAS","CAYUGA CREEK/CLASS C","Weather Conditions; ","RAIN/SNOW MELT; "
"2013/05/28 10:15 AM","Niagara Falls Water Board WWTP","91st St. and Luick Lift Station","Niagara Falls","Niagara","43.0962143","-79.0377388","Actual","9000","Untreated","","05/28/2013 12:15 PM","","2:00","Improved wet weather flow management","Niagara River","Weather Conditions; ","Rain; "
"2013/05/28 10:15 PM","Niagara Falls Water Board","West Riverhop Drive Bypass Station","Niagara Falls","Niagara","43.0962143","-79.0377388","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Improve wet weather flow management","Little Niagara River","Weather Conditions; ","Rain; "
"2013/05/28 10:25 PM","ECSD No. 3 - Electric Avenue PS"," 3859  Robin Lane at Big Tree Rd.","Hamburg","Erie","42.7719974","-78.83933979999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Heavy Rain; "
"2013/05/28 10:50 PM","Southtowns AWT","5018 Richmond Ave","Hamburg","Erie","42.783857","-78.796656","Unknown","","Untreated","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Heavy Rain; "
"2013/05/28 12:00 AM","Town of West Seneca Engineering Dept. (Elmsford Drive Pump Station)","30 Elmsford Drive","West Seneca","Erie","42.8217803","-78.7769871","Actual","156000","Untreated","","05/29/2013 04:00 AM","","28:00","N/A","","Weather Conditions; ","Heavy Rain Event; "
"2013/05/28 12:00 PM","Village of Dannemora","4 Hammond St.","Dannemora","Clinton","44.714144","-73.725488","Actual","10","Untreated","","05/28/2013 01:00 PM","","Less than 1 hour","Unplugged (with sewer machine) sewer line and wash","","Blockage; ","Stoppage; "
"2013/05/28 12:30 PM","Village of Malone DPW","Corner of Reservoir St. and College Ave.","Malone","Franklin","44.844354","-74.288043","Unknown","","Untreated","","05/28/2013 12:30 PM","","","Flushed sewer line.","","Blockage; ","Stoppage; "
"2013/05/29 01:20 AM","Southtowns Sewage Treatment","3690 Lakeshore Rd. ","Blasdell","Erie","42.785645","-78.85070899999999","Actual","254000","Partially Treated With Disinfection","","","Expected ending date of discharge not reported","","N/A","N/A","Weather Conditions; ","Heavy Rain; "
"2013/05/29 06:00 AM","City of Tonawanda","Fuller Ave PS","City of Tonawanda","Erie","43.0203347","-78.880315","Actual","840000","Untreated","","05/29/2013 08:30 AM","","2:30","N/A","Ellicott Creek","Weather Conditions; ","Wet Weather Event; "
"2013/05/29 08:00 AM","City of Tonawanda","Young Street PS","City of Tonawanda","Erie","43.0203347","-78.880315","Actual","333000","Untreated","","05/29/2013 08:00 AM","","","N/A","Ellicott Creek","Weather Conditions; ","Wet Weather Event; "
"2013/05/29 09:30 AM","Labelle Avenue Pump Station","51 Labelle Avenue","Blasdell","Erie","42.7974732","-78.82989999999999","Actual","6300","Untreated","","05/29/2013 09:33 AM","","Less than 1 hour","N/A","N/A","Weather Conditions; ","Heavy Rain; "
"2013/05/29 11:15 AM","City of Tonawanda","Franklin and Fletcher","City of Tonawanda","Erie","43.013082","-78.889394","Actual","321000","Untreated","","05/29/2013 11:15 AM","","","N/A","Niagara River","Weather Conditions; ","Wet Weather Event; "
"2013/05/30 08:30 AM","Dannemora WWTP","284 Ryan Road, at WWTP","Saranac","Clinton","44.706708","-73.711524","Unknown","","Untreated","","05/30/2013 09:31 AM","","1:01","spill at Plant from a septic truck hose discharge.","","Other; ","septic truck discharge hose popped off and spilled; "
"2013/05/31 02:00 PM","Town of Ticonderoga","","","","","","Estimate","50","Untreated","","05/31/2013 02:00 PM","","","Sanitary Sewer Grinder breaker turned back on","","Power Outage; ",""
"2013/05/31 12:30 PM","Village of Cleveland Wastewater Treatment Plant","20 Sand Street","Cleveland","Oswego","43.23737","-75.882583","Estimate","100","Partially Treated Without Disinfection","","","Expected ending date of discharge not reported","","put submersible pump in pit and pumped over to equ","","Other; ","pump failure; "
"2013/06/01 07:05 AM","Town of Orangetown Sewer Dept","40 S. Middletown Rd","Pearl River","Rockland","41.05825","-74.012727","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Ran sewer main with pressure truck to unblock clog","unknown","Blockage; ","Rags in sewer main; "
"2013/06/01 09:30 PM","Town of Cheektowaga","489 Roycroft Blvd","Cheektowaga","Erie","42.9488788","-78.779957","Unknown","","Untreated","","","Expected ending date of discharge not reported","","continue to monitor flows during wet weather bypas","Scajaquada Creek/Class C","Weather Conditions; ","Rain/Snow melt; "
"2013/06/01 09:30 PM","Town of Cheektowaga","","","","","","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Continue to monitor flows during wet weather bypas","Scajaquada Creek/Class C","Weather Conditions; ","Rain/Snow Melt; "
"2013/06/01 10:25 AM","NYCDEP","","","","","","Unknown","","Untreated","","06/01/2013 11:15 AM","","Less than 1 hour","Plant personnel attempted to redirect flow from st","Rockaway Inlet","Unknown At This Time; ",""
"2013/06/01 10:45 PM","Grand Island Wastewater Treatment Plant","","","","","","Unknown","","Untreated","","","Expected ending date of discharge not reported","","institute I/I engineering study","Niagara River","Weather Conditions; ","heavy precipitation; "
"2013/06/01 10:45 PM","Grand Island Wastewater Treatment Plant","","","","","","Unknown","","Untreated","","","Expected ending date of discharge not reported","","institute I/I engineering study","Niagara River","Weather Conditions; ","heavy precipitation; "
"2013/06/01 10:45 PM","Grand Island WWTP","1490 East River Road","Grand Island","Erie","42.9994597","-78.94033069999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Institute I/I engineering study.","Niagara River","Weather Conditions; ","Heavy precipitation; Heavy precipitation; "
